ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size
1755683523673,2025-08-20T09:52:03.673000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,43.9600000000,4222.1900000000,0.0700000000,4222.1700000000,11.8700000000,4222.1000000000,444.0700000000,4222.0900000000,0.0100000000,4222.2100000000,47.3100000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3400000000,1.1300000000
1755683523873,2025-08-20T09:52:03.873000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,41.9600000000,4222.1900000000,0.0700000000,4222.1700000000,11.8700000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,47.3400000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3400000000,1.1300000000
1755683523973,2025-08-20T09:52:03.973000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,41.9600000000,4222.1900000000,0.0700000000,4222.1700000000,11.8700000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,47.3400000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3400000000,1.1300000000
1755683524073,2025-08-20T09:52:04.073000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,41.9600000000,4222.1900000000,0.0700000000,4222.1700000000,11.8700000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,47.3400000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3400000000,1.1300000000
1755683524173,2025-08-20T09:52:04.173000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,17.8600000000,4222.1900000000,0.0700000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,39.2600000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3400000000,1.1300000000
1755683524273,2025-08-20T09:52:04.273000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,15.7400000000,4222.1900000000,0.0700000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,50.4800000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3300000000,6.0500000000
1755683524373,2025-08-20T09:52:04.373000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,11.6400000000,4222.1900000000,0.0700000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,50.4800000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3300000000,6.0500000000
1755683524473,2025-08-20T09:52:04.473000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,15.6600000000,4222.1900000000,0.0100000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,50.4800000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3300000000,6.0500000000
1755683524573,2025-08-20T09:52:04.573000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,11.4300000000,4222.1900000000,0.0100000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,50.4800000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3300000000,3.3700000000
1755683524673,2025-08-20T09:52:04.673000+00:00,bybit,ETH/USDT:USDT,L2,,4222.2000000000,4222.2100000000,4222.2000000000,11.4300000000,4222.1900000000,0.0100000000,4222.1700000000,10.0000000000,4222.1500000000,32.3500000000,4222.1000000000,444.0700000000,4222.2100000000,50.4800000000,4222.2200000000,1.5000000000,4222.2700000000,0.0200000000,4222.3200000000,0.1100000000,4222.3300000000,3.3700000000
