ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size
1755683333173,2025-08-20T09:48:53.173000+00:00,bybit,ETH/USDT:USDT,L2,,4228.3600000000,4228.3700000000,4228.3600000000,0.3000000000,4228.3300000000,0.0200000000,4228.2900000000,0.0200000000,4228.2500000000,0.0300000000,4228.2200000000,0.0200000000,4228.3700000000,65.8200000000,4228.3800000000,2.8600000000,4228.4000000000,1.2800000000,4228.4100000000,2.1300000000,4228.4500000000,0.0200000000
1755683333573,2025-08-20T09:48:53.573000+00:00,bybit,ETH/USDT:USDT,L2,,4228.0000000000,4228.0100000000,4228.0000000000,1.8800000000,4227.9900000000,0.0200000000,4227.9500000000,0.0200000000,4227.9200000000,0.0100000000,4227.9100000000,0.0200000000,4228.0100000000,70.8500000000,4228.0300000000,4.8900000000,4228.0400000000,0.4800000000,4228.0500000000,3.0900000000,4228.1000000000,1.2700000000
1755683333873,2025-08-20T09:48:53.873000+00:00,bybit,ETH/USDT:USDT,L2,,4227.7000000000,4227.7100000000,4227.7000000000,12.7300000000,4227.6600000000,4.7800000000,4227.6500000000,11.8900000000,4227.6400000000,0.5800000000,4227.6100000000,0.0200000000,4227.7100000000,81.8800000000,4227.7500000000,0.0100000000,4227.7700000000,0.0200000000,4227.8000000000,1.2700000000,4227.8200000000,0.0200000000
1755683334174,2025-08-20T09:48:54.174000+00:00,bybit,ETH/USDT:USDT,L2,,4227.6400000000,4227.6500000000,4227.6400000000,27.7400000000,4227.6100000000,8.5400000000,4227.6000000000,4.9200000000,4227.5900000000,0.4800000000,4227.5700000000,2.3800000000,4227.6500000000,42.4700000000,4227.6900000000,0.0200000000,4227.7000000000,1.2700000000,4227.7100000000,2.0000000000,4227.7300000000,0.0200000000
1755683334573,2025-08-20T09:48:54.573000+00:00,bybit,ETH/USDT:USDT,L2,,4227.6400000000,4227.6500000000,4227.6400000000,32.8200000000,4227.6300000000,2.3700000000,4227.6100000000,0.0200000000,4227.6000000000,4.9200000000,4227.5900000000,0.4800000000,4227.6500000000,36.6600000000,4227.6900000000,0.0200000000,4227.7300000000,0.0200000000,4227.7500000000,0.0100000000,4227.7700000000,0.0200000000
1755683334873,2025-08-20T09:48:54.873000+00:00,bybit,ETH/USDT:USDT,L2,,4227.6400000000,4227.6500000000,4227.6400000000,26.5200000000,4227.6300000000,2.3700000000,4227.6100000000,0.0200000000,4227.6000000000,4.9200000000,4227.5900000000,0.4800000000,4227.6500000000,31.1900000000,4227.6900000000,0.0200000000,4227.7300000000,0.0200000000,4227.7500000000,0.0100000000,4227.7700000000,0.0200000000
1755683395573,2025-08-20T09:49:55.573000+00:00,bybit,ETH/USDT:USDT,L2,,4226.0700000000,4226.0800000000,4226.0700000000,29.4600000000,4226.0500000000,0.0200000000,4226.0100000000,0.0200000000,4226.0000000000,731.9200000000,4225.9900000000,0.0300000000,4226.0800000000,3.6600000000,4226.1700000000,0.0200000000,4226.2100000000,0.0200000000,4226.2500000000,0.0200000000,4226.2900000000,0.0200000000
1755683395674,2025-08-20T09:49:55.674000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,54.2800000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.1600000000,4.4000000000,4226.2500000000,12.7200000000,4226.2900000000,0.0200000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000,4226.3800000000,0.0200000000
1755683395773,2025-08-20T09:49:55.773000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,1.7100000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,22.0400000000,4226.2900000000,0.0200000000,4226.3000000000,1.2700000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000
1755683395874,2025-08-20T09:49:55.874000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,0.3200000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,49.0500000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3200000000,0.2300000000,4226.3300000000,0.0300000000
