ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,mid,spread_bps,microprice,ofi_l1,ret_mid,rv_event_20
1755855167301,2025-08-22T09:32:47.301000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,6.67,4316.02,0.02,4316.0,0.04,4315.92,2.71,4315.9,2.32,4316.07,37.65,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061504963899,0.0,,
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,5.01,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,36.73,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061200287494,-0.7399999999999984,0.0,
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,5.01,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,36.73,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061200287494,0.0,0.0,
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,5.01,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,36.73,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061200287494,0.0,0.0,
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,6.9,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,35.22,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061638176639,3.3999999999999986,0.0,
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,6.9,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,35.22,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061638176639,0.0,0.0,
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,6.9,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,35.22,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061638176639,0.0,0.0,
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,25.59,4316.02,6.97,4316.0,0.04,4315.92,2.72,4315.9,2.32,4316.07,28.43,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064737134395,25.479999999999997,0.0,
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,25.59,4316.02,6.97,4316.0,0.04,4315.92,2.72,4315.9,2.32,4316.07,28.43,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064737134395,0.0,0.0,
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,25.59,4316.02,6.97,4316.0,0.04,4315.92,2.72,4315.9,2.32,4316.07,28.43,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064737134395,0.0,0.0,
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,6.99,4315.92,2.72,4315.9,2.32,4316.07,33.22,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064285222777,-5.469999999999999,0.0,
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,6.99,4315.92,2.72,4315.9,2.32,4316.07,33.22,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064285222777,0.0,0.0,
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,6.99,4315.92,2.72,4315.9,2.32,4316.07,33.22,4316.09,1.16,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.064285222777,0.0,0.0,
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,0.04,4315.98,6.95,4315.92,2.72,4316.07,33.79,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.19,1.17,4316.0650000000005,0.023169252546726665,4316.064243611584,-0.5700000000000003,0.0,
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,0.04,4315.98,6.95,4315.92,2.72,4316.07,33.79,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.19,1.17,4316.0650000000005,0.023169252546726665,4316.064243611584,0.0,0.0,
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,0.04,4315.98,6.95,4315.92,2.72,4316.07,33.79,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.19,1.17,4316.0650000000005,0.023169252546726665,4316.064243611584,0.0,0.0,
1755855169101,2025-08-22T09:32:49.101000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,24.91,4316.02,0.02,4316.0,0.04,4315.92,2.72,4315.9,2.32,4316.07,34.97,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.19,0.02,4316.0650000000005,0.023169252546726665,4316.06415998664,-1.1799999999999997,0.0,
1755855169401,2025-08-22T09:32:49.401000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,23.6,4316.02,0.02,4316.0,0.04,4315.92,2.72,4315.9,9.27,4316.07,33.96,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.18,1.15,4316.0650000000005,0.023169252546726665,4316.064100069492,-0.3000000000000007,0.0,
1755855169401,2025-08-22T09:32:49.401000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,23.6,4316.02,0.02,4316.0,0.04,4315.92,2.72,4315.9,9.27,4316.07,33.96,4316.09,0.01,4316.13,0.01,4316.14,0.02,4316.18,1.15,4316.0650000000005,0.023169252546726665,4316.064100069492,0.0,0.0,
1755855169701,2025-08-22T09:32:49.701000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,8.22,4316.02,0.02,4316.0,0.04,4315.92,0.01,4315.9,2.32,4316.07,38.59,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.061756035036,-20.010000000000005,0.0,
1755855170001,2025-08-22T09:32:50.001000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,4.72,4316.02,0.02,4316.0,0.04,4315.98,0.02,4315.92,0.01,4316.07,41.6,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.0610189982735,-6.509999999999999,0.0,0.0
1755855170001,2025-08-22T09:32:50.001000+00:00,bybit,ETH/USDT:USDT,L2,,4316.06,4316.07,4316.06,4.72,4316.02,0.02,4316.0,0.04,4315.98,0.02,4315.92,0.01,4316.07,41.6,4316.09,0.01,4316.1,0.83,4316.13,0.01,4316.14,0.02,4316.0650000000005,0.023169252546726665,4316.0610189982735,0.0,0.0,0.0
1755855170301,2025-08-22T09:32:50.301000+00:00,bybit,ETH/USDT:USDT,L2,,4315.88,4315.89,4315.88,20.66,4315.82,6.92,4315.77,10.04,4315.76,32.4,4315.75,1.03,4315.89,10.08,4315.9,0.83,4315.93,0.02,4315.97,0.02,4316.0,0.85,4315.885,0.023170218854807943,4315.8867208848405,-14.8,-4.1705524250090775e-05,1.7393507529749098e-09
1755855170601,2025-08-22T09:32:50.601000+00:00,bybit,ETH/USDT:USDT,L2,,4315.88,4315.89,4315.88,28.88,4315.82,6.89,4315.77,10.04,4315.76,32.4,4315.75,1.03,4315.89,12.15,4315.9,0.83,4315.92,1.15,4315.93,0.02,4315.97,0.02,4315.885,0.023170218854807943,4315.887038752133,6.149999999999999,0.0,1.7393507529749098e-09
1755855170601,2025-08-22T09:32:50.601000+00:00,bybit,ETH/USDT:USDT,L2,,4315.88,4315.89,4315.88,28.88,4315.82,6.89,4315.77,10.04,4315.76,32.4,4315.75,1.03,4315.89,12.15,4315.9,0.83,4315.92,1.15,4315.93,0.02,4315.97,0.02,4315.885,0.023170218854807943,4315.887038752133,0.0,0.0,1.7393507529749098e-09
1755855170901,2025-08-22T09:32:50.901000+00:00,bybit,ETH/USDT:USDT,L2,,4315.88,4315.89,4315.88,23.47,4315.82,6.89,4315.77,10.04,4315.76,32.4,4315.75,1.03,4315.89,26.19,4315.93,0.02,4315.97,0.02,4315.99,1.15,4316.0,0.85,4315.885,0.023170218854807943,4315.884726137737,-19.450000000000003,0.0,1.7393507529749098e-09
